stop_id,stop_name,stop_lat,stop_lon,location_type
33005,Bojkovice město,49.03533722222222,17.811043611111113,0
33012,Blatec,49.525464444444445,17.24613916666667,0
33014,Albrechtice u Českého Těšína,49.79275972222222,18.52433861111111,0
33015,Adamov,49.29541527777778,16.66319833333333,0
33022,Nemilany,49.5587325,17.244292222222224,0
33024,Baška,49.651063888888885,18.369131944444444,0
33025,Adamov zastávka,49.301993055555556,16.64810611111111,0
33032,Olomouc-Nové Sady,49.570875,17.260583333333333,0
33035,Babice nad Svitavou,49.27654,16.67273527777778,0
33042,Bludov,49.92777361111111,16.938769166666667,0
33045,Bedihošť,49.441676666666666,17.166581388888886,0
33052,Bohutín,49.95167694444445,16.876021666666666,0
33054,Studénka město,49.716276944444445,18.065136111111112,0
33055,Čelčice,49.41185,17.191383055555555,0
33062,Bludov lázně,49.940855,16.902754166666664,0
33064,Bílovec,49.753319166666664,18.013968055555555,0
33065,Doloplazy,49.352741944444446,17.161682222222222,0
33072,Bohdíkov,50.02625611111111,16.901385555555553,0
33074,Velké Albrechtice,49.74859611111111,18.03091361111111,0
33075,Pivín,49.38748972222222,17.18875,0
33082,Komňátka,50.00949166666667,16.897234166666667,0
33084,Budišov nad Budišovkou,49.795758888888884,17.61405277777778,0
33085,Bílovice nad Svitavou,49.242515833333336,16.67339861111111,0
33092,Bohuňovice,49.663025,17.281105277777776,0
33094,Svatoňovice,49.79933222222222,17.667952500000002,0
33095,Blansko,49.352021111111114,16.647776666666665,0
33102,Hlušovice,49.63909666666667,17.281195,0
33104,Bystřice (Bystrzyca),49.636021944444444,18.717486666666666,0
33105,Dolní Lhota,49.387546944444445,16.6337825,0
33112,Branná,50.14691805555555,17.015046388888887,0
33114,Hrádek (Gródek),49.613748333333334,18.739469166666666,0
33115,Blansko město,49.361155277777776,16.639301944444444,0
33122,Brantice,50.05204833333333,17.61162611111111,0
33124,Vendryně (Wędrynia),49.65662805555555,18.695813611111113,0
33125,Blažovice,49.16368527777777,16.79825055555556,0
33132,Zátor,50.03937027777778,17.596263055555553,0
33135,Křenovice dolní nádraží,49.14420888888889,16.834138055555556,0
33142,Brodek u Přerova,49.48204611111111,17.337388333333333,0
33145,Bohuslavice nad Vláří,49.096204166666666,17.926159444444444,0
33152,Rokytnice u Přerova,49.46065638888889,17.374090555555554,0
33155,Divnice,49.09767666666667,17.914587777777776,0
33162,Bruntál,49.99357888888889,17.47449,0
33165,Popov,49.08068916666667,17.966962777777777,0
33175,Bohuslavice u Kyjova,49.054897777777775,17.119261944444446,0
33182,Kožušany,49.54031222222222,17.250006666666668,0
33185,Bojkovice,49.0361125,17.795358611111112,0
33195,Pitín zastávka,49.03745611111111,17.84315388888889,0
33205,Boskovice,49.49116888888889,16.651301666666665,0
33215,Boří les,48.73793777777778,16.867159444444447,0
33225,Božice u Znojma,48.82327805555556,16.28776138888889,0
33232,Břidličná,49.913311388888886,17.382608611111113,0
33234,Český Těšín (Czeski Cieszyn),49.74357638888889,18.622413055555555,0
33236,Branky na Moravě,49.45936972222223,17.906097222222222,0
33242,Břidličná zastávka,49.91242611111111,17.369599722222222,0
33244,Chotěbuz (Kocobędz),49.78161194444444,18.598074722222222,0
33246,Police u Valašského Meziříčí,49.450585000000004,17.868314166666668,0
33252,Raškov,50.040261666666666,16.912605555555555,0
33254,Ropice zastávka (Ropica przystanek),49.716755,18.6267125,0
33255,Bransouze,49.30569333333333,15.74933972222222,0
33264,Děhylov,49.88055861111111,18.17102138888889,0
33265,Přímělkov,49.34352416666667,15.74145861111111,0
33274,Dětmarovice,49.90019111111111,18.466406666666664,0
33275,Dolní Smrčné,49.322947777777784,15.747423333333332,0
33284,Dobrá u Frýdku-Místku,49.67084388888889,18.41442972222222,0
33285,Číchov,49.28195916666667,15.7634975,0
33292,Čelechovice na Hané,49.513536944444446,17.096906666666666,0
33294,Dobratice-Vojkovice,49.66971083333333,18.472847499999997,0
33295,Brno hl.n.,49.190933611111106,16.61335805555556,0
33302,Kaple,49.53114111111111,17.104666666666667,0
33304,Dolní Benešov,49.92315222222222,18.11900277777778,0
33305,Brno-Horní Heršpice,49.16749861111111,16.606886666666668,0
33312,Červenka,49.72404916666667,17.09110472222222,0
33314,Kozmice,49.91054277777778,18.153759722222222,0
33315,Brno-Královo Pole,49.230489722222224,16.59716472222222,0
33322,Dětřichov nad Bystřicí,49.83844888888889,17.394923055555555,0
33324,Frenštát pod Radhoštěm město,49.54449222222222,18.208428055555554,0
33325,Brno-Řečkovice,49.2505625,16.590310833333334,0
33332,Lomnice u Rýmařova,49.87304861111111,17.419250555555557,0
33334,Frenštát pod Radhoštěm,49.54193055555555,18.22418472222222,0
33335,Brno-Lesná,49.22053888888889,16.627034444444444,0
33344,Frýdek-Místek,49.67774222222222,18.353696388888892,0
33354,Frýdlant nad Ostravicí,49.58884055555556,18.354703888888892,0
33364,Čeladná,49.552974166666665,18.33435361111111,0
33365,Brno-Slatina,49.169513333333335,16.68204111111111,0
33374,Frýdlant nad Ostravicí-Nová Dědina,49.57012166666667,18.360624166666668,0
33384,Frýdlant nad Ostravicí zastávka,49.58512027777778,18.36054388888889,0
33385,Brno-Černovice,49.18859833333333,16.630775555555555,0
33394,Pržno,49.617065277777776,18.3618925,0
33395,Brno-Židenice,49.201929722222225,16.635224444444443,0
33404,Fulnek,49.71354138888889,17.91278694444444,0
33405,Brumov,49.094285,18.036758333333335,0
33412,Halenkov zastávka,49.31590027777777,18.14181027777778,0
33414,Stachovice,49.69429333333333,17.93183138888889,0
